employee_id,attrition_flag,predicted_prob,risk_band,job_role,department,tenure_months,performance_rating,engagement_score,manager_support_score,growth_opportunity_score,training_hours,training_count
11,0,0.22102146305351686,Low,Laboratory Technician,Research & Development,12,4,3,2,4,4,2
140,0,0.04335000851649779,Low,Manager,Human Resources,36,4,4,4,3,6,3
12,0,0.04976582062033081,Low,Manufacturing Director,Research & Development,108,4,3,2,4,4,2
13,0,0.07895625978765883,Low,Healthcare Representative,Research & Development,84,3,3,2,3,6,3
567,0,0.19645874618455006,Low,Sales Executive,Sales,108,3,1,3,3,6,3
851,0,0.057727033353427444,Low,Manager,Sales,240,3,3,3,1,4,2
1029,0,0.059136716668525956,Low,Manager,Sales,12,3,3,2,4,6,3
1731,0,0.19602787819321407,Low,Sales Executive,Sales,12,3,2,4,3,6,3
14,0,0.27251597047099796,Low,Laboratory Technician,Research & Development,60,3,2,3,1,10,5
15,0,0.11625816863970086,Low,Laboratory Technician,Research & Development,108,3,3,4,4,6,3
16,0,0.2330067593676575,Low,Research Scientist,Research & Development,60,3,3,4,1,2,1
18,0,0.2429031664859975,Low,Laboratory Technician,Research & Development,24,3,4,3,2,4,2
19,1,0.18735133675257157,Low,Laboratory Technician,Research & Development,48,3,3,2,3,8,4
20,0,0.1375082318682932,Low,Manufacturing Director,Research & Development,120,3,1,3,2,2,1
21,0,0.15982949220000547,Low,Research Scientist,Research & Development,72,3,2,4,1,10,5
22,0,0.17901001419182258,Low,Laboratory Technician,Research & Development,12,3,4,2,4,4,2
23,0,0.029990221514059973,Low,Manager,Sales,300,3,4,3,1,6,3
24,0,0.08154553645158837,Low,Research Scientist,Research & Development,36,3,4,3,4,6,3
26,0,0.06744433182994755,Low,Manufacturing Director,Research & Development,48,3,3,4,1,10,5
27,1,0.4168533638727577,Medium,Sales Representative,Sales,60,4,1,2,3,8,4
28,0,0.041756692003051994,Low,Research Director,Research & Development,144,3,2,3,1,8,4
30,0,0.06679341632978579,Low,Research Scientist,Research & Development,0,3,4,4,3,12,6
31,1,0.2822469504958304,Low,Research Scientist,Research & Development,48,3,1,3,2,4,2
32,0,0.03432551311519254,Low,Manager,Research & Development,168,3,3,4,3,6,3
33,1,0.16296630506452234,Low,Research Scientist,Research & Development,120,4,1,2,2,10,5
35,0,0.1652935078796577,Low,Sales Executive,Sales,108,3,2,4,3,4,2
36,0,0.03575171197587778,Low,Healthcare Representative,Research & Development,264,3,4,4,1,8,4
38,0,0.14500268322067636,Low,Manager,Sales,24,3,1,4,2,4,2
39,0,0.16155154889859294,Low,Laboratory Technician,Research & Development,12,3,4,4,3,6,3
40,0,0.03141996861616234,Low,Healthcare Representative,Research & Development,48,3,4,4,4,10,5
41,0,0.11030771558229059,Low,Laboratory Technician,Research & Development,120,3,3,1,4,10,5
42,1,0.15657401505829419,Low,Sales Representative,Sales,12,3,4,3,4,12,6
45,1,0.19279306692093476,Low,Research Scientist,Research & Development,24,3,4,1,2,4,2
46,0,0.08658469579906333,Low,Research Scientist,Research & Development,60,3,3,4,4,6,3
47,1,0.5010464750544883,Medium,Sales Representative,Sales,36,3,3,3,1,4,2
49,0,0.27115224763700463,Low,Sales Representative,Sales,24,3,4,1,4,6,3
51,0,0.25441924142086497,Low,Research Scientist,Research & Development,12,3,1,4,2,6,3
60,0,0.17998964837738554,Low,Sales Executive,Sales,108,4,3,3,2,4,2
52,0,0.2699764232030179,Low,Sales Executive,Sales,60,3,1,1,3,6,3
53,0,0.17724507945662615,Low,Laboratory Technician,Research & Development,12,3,4,3,3,6,3
54,0,0.16493653997688357,Low,Laboratory Technician,Research & Development,12,3,1,4,4,12,6
55,1,0.36724803632900005,Medium,Laboratory Technician,Research & Development,12,3,3,3,1,4,2
56,0,0.1396640576502479,Low,Sales Executive,Sales,108,3,3,4,4,0,0
57,0,0.11849261386504789,Low,Laboratory Technician,Research & Development,144,4,4,4,3,4,2
58,1,0.027285594435120884,Low,Research Director,Research & Development,264,3,3,4,2,0,0
61,0,0.33729367495138346,Medium,Research Scientist,Research & Development,12,4,2,1,2,2,1
62,0,0.13441748055496622,Low,Sales Executive,Sales,108,4,4,3,1,8,4
63,0,0.14851740807390543,Low,Laboratory Technician,Research & Development,12,3,4,4,4,4,2
64,1,0.34171860345347993,Medium,Laboratory Technician,Research & Development,12,3,3,4,1,4,2
65,1,0.21241968062954586,Low,Laboratory Technician,Research & Development,24,3,3,3,3,6,3
68,0,0.32445459509098745,Low,Sales Executive,Sales,48,4,1,3,2,4,2
70,0,0.13233287940166646,Low,Healthcare Representative,Research & Development,48,3,1,3,3,6,3
72,0,0.1520105867907051,Low,Sales Executive,Sales,24,3,4,3,3,4,2
73,0,0.03552442409366578,Low,Research Director,Research & Development,180,3,4,3,1,2,1
74,0,0.22158321491007227,Low,Sales Executive,Sales,108,4,1,4,2,6,3
75,0,0.3174227461816676,Low,Laboratory Technician,Research & Development,24,3,1,3,3,6,3
76,0,0.09846006741373721,Low,Laboratory Technician,Research & Development,84,4,4,4,4,6,3
77,0,0.10542166332466638,Low,Manufacturing Director,Research & Development,84,3,3,3,1,4,2
78,0,0.07065239670377207,Low,Manufacturing Director,Research & Development,108,4,4,2,1,6,3
79,0,0.10200105748629557,Low,Laboratory Technician,Research & Development,120,3,4,4,4,4,2
80,0,0.015391639732550776,Low,Research Director,Research & Development,324,3,3,4,2,4,2
81,0,0.1755840871720981,Low,Sales Executive,Sales,252,3,1,4,1,6,3
83,0,0.05952569312296445,Low,Healthcare Representative,Research & Development,204,3,3,2,3,4,2
84,0,0.05235297786141577,Low,Manager,Research & Development,60,3,3,3,4,4,2
85,0,0.09412301573293974,Low,Manufacturing Director,Research & Development,72,3,2,3,2,6,3
86,0,0.31208846479710933,Low,Research Scientist,Research & Development,12,3,1,3,2,4,2
88,0,0.2694744767277361,Low,Research Scientist,Research & Development,36,3,1,4,2,4,2
90,1,0.21231585556253924,Low,Research Scientist,Research & Development,12,3,3,1,4,0,0
91,0,0.2482526046257435,Low,Sales Executive,Sales,48,3,3,4,1,4,2
94,0,0.13943729735055646,Low,Research Scientist,Research & Development,60,4,2,4,3,6,3
95,0,0.17217283424590346,Low,Research Scientist,Research & Development,12,3,2,2,3,8,4
96,0,0.17461574934712215,Low,Research Scientist,Research & Development,120,3,2,2,2,6,3
97,0,0.24034838123969227,Low,Laboratory Technician,Research & Development,12,3,4,2,2,6,3
98,0,0.03670204520196117,Low,Manufacturing Director,Research & Development,132,4,4,4,3,4,2
100,0,0.19627998297352622,Low,Sales Executive,Sales,180,3,1,2,3,4,2
101,0,0.05612412401429246,Low,Research Director,Research & Development,0,3,1,2,4,6,3
102,0,0.064427623628848,Low,Research Director,Research & Development,60,3,3,1,1,6,3
103,0,0.26887077939824344,Low,Human Resources,Human Resources,48,4,2,4,2,4,2
104,0,0.13120123077782625,Low,Laboratory Technician,Research & Development,120,3,4,3,4,2,1
105,0,0.17895974100228385,Low,Research Scientist,Research & Development,72,3,3,1,2,6,3
106,0,0.17026233483149858,Low,Sales Executive,Sales,12,3,4,4,1,8,4
107,0,0.07840640695276643,Low,Research Scientist,Research & Development,156,3,4,4,2,6,3
110,0,0.1454563967240467,Low,Manufacturing Director,Research & Development,60,3,2,3,1,4,2
112,0,0.04183227640199863,Low,Manufacturing Director,Research & Development,72,3,4,1,4,6,3
113,0,0.4933033616974142,Medium,Sales Representative,Sales,0,3,1,3,3,6,3
116,0,0.11696619439683223,Low,Laboratory Technician,Research & Development,48,4,4,2,4,8,4
117,0,0.056892546951735734,Low,Healthcare Representative,Research & Development,132,3,4,1,3,6,3
118,1,0.08807892360486622,Low,Sales Executive,Sales,108,3,4,4,3,6,3
119,0,0.04183351289897166,Low,Healthcare Representative,Research & Development,264,4,2,4,3,6,3
121,0,0.13730364291158562,Low,Sales Executive,Sales,132,3,2,2,3,8,4
124,0,0.07496349414238646,Low,Healthcare Representative,Research & Development,120,3,1,3,3,10,5
125,0,0.26248679332502695,Low,Sales Executive,Sales,132,3,3,1,2,0,0
126,0,0.04859752200757037,Low,Research Director,Research & Development,48,3,3,1,1,10,5
128,0,0.3242036175863625,Low,Sales Executive,Sales,36,4,3,1,1,4,2
129,0,0.20127322855226287,Low,Sales Executive,Sales,60,3,3,2,2,6,3
131,0,0.038639858702816665,Low,Sales Executive,Sales,444,3,3,3,4,2,1
132,0,0.3072670711744361,Low,Laboratory Technician,Research & Development,36,3,2,3,2,6,3
133,1,0.24484902245781717,Low,Human Resources,Human Resources,36,4,1,4,3,6,3
134,0,0.1903899024508149,Low,Research Scientist,Research & Development,12,3,1,4,4,4,2
137,1,0.11479443450331049,Low,Laboratory Technician,Research & Development,12,3,4,2,4,10,5
138,0,0.12450607248414611,Low,Research Scientist,Research & Development,192,3,3,3,1,6,3
139,0,0.07634616902746928,Low,Healthcare Representative,Research & Development,12,3,4,4,3,4,2
141,0,0.09976841461006358,Low,Research Director,Research & Development,96,3,2,1,1,2,1
142,1,0.17142445724958724,Low,Sales Executive,Sales,72,3,3,4,3,2,1
143,0,0.09969019370879714,Low,Research Scientist,Research & Development,24,3,4,3,4,4,2
144,0,0.1734855704464319,Low,Laboratory Technician,Research & Development,0,3,4,3,2,10,5
145,0,0.19364077082235273,Low,Healthcare Representative,Research & Development,156,4,1,3,1,2,1
147,1,0.22808882188506543,Low,Laboratory Technician,Research & Development,108,4,3,4,1,6,3
148,0,0.03417276678702216,Low,Manager,Human Resources,60,3,4,3,4,6,3
150,0,0.26748549241274044,Low,Laboratory Technician,Research & Development,60,3,3,3,2,4,2
151,0,0.1811305163526366,Low,Research Scientist,Research & Development,12,3,2,3,3,6,3
152,0,0.14041076799934976,Low,Sales Executive,Sales,60,3,4,1,3,6,3
153,0,0.040356249577204316,Low,Manager,Research & Development,132,3,1,4,3,12,6
154,0,0.0778033918437752,Low,Sales Executive,Sales,108,3,4,3,2,12,6
155,0,0.35382955386912107,Medium,Laboratory Technician,Research & Development,12,4,4,1,1,4,2
158,0,0.01577326462779329,Low,Manager,Sales,300,3,4,4,3,6,3
159,0,0.1823768280134306,Low,Research Scientist,Research & Development,120,4,3,3,1,4,2
160,0,0.2333961806213844,Low,Sales Executive,Sales,84,3,2,1,3,4,2
161,1,0.26305074510396975,Low,Research Scientist,Research & Development,60,3,2,1,2,4,2
162,0,0.018705097432621876,Low,Research Director,Research & Development,240,3,3,3,1,10,5
163,1,0.18638563500706876,Low,Sales Executive,Sales,84,3,3,2,2,6,3
164,0,0.1545523989805452,Low,Research Scientist,Research & Development,60,3,2,3,3,6,3
165,1,0.008181881121802948,Low,Healthcare Representative,Research & Development,480,3,4,4,4,6,3
167,1,0.3137382142735001,Low,Sales Representative,Sales,0,3,3,4,4,4,2
169,0,0.19630047961269076,Low,Laboratory Technician,Research & Development,24,3,4,3,3,4,2
170,0,0.07444191626636448,Low,Manufacturing Director,Research & Development,180,3,1,3,3,4,2
171,0,0.17623736662951323,Low,Research Scientist,Research & Development,36,3,3,4,2,4,2
174,0,0.11881243630626542,Low,Sales Executive,Sales,24,3,4,4,3,6,3
175,1,0.2361711008989979,Low,Sales Executive,Sales,24,3,3,3,2,4,2
176,0,0.1442866311854217,Low,Sales Executive,Sales,108,3,3,3,3,4,2
177,0,0.12905740419459769,Low,Human Resources,Human Resources,96,4,3,4,3,6,3
178,0,0.1515671690689746,Low,Manufacturing Director,Research & Development,36,4,2,4,2,0,0
179,1,0.08475720216507655,Low,Manufacturing Director,Research & Development,48,3,4,4,1,4,2
182,0,0.10288050202464236,Low,Sales Executive,Sales,180,3,3,3,4,2,1
183,0,0.23400322443366744,Low,Sales Executive,Sales,24,3,3,4,1,6,3
184,0,0.10504061177215909,Low,Human Resources,Human Resources,132,3,4,4,3,4,2
190,1,0.5060662281692665,Medium,Laboratory Technician,Research & Development,60,4,1,1,1,4,2
192,0,0.118475847957681,Low,Research Scientist,Research & Development,72,3,4,2,3,4,2
193,0,0.1331512494171699,Low,Research Scientist,Research & Development,36,4,3,2,4,4,2
194,0,0.1680634767974745,Low,Research Scientist,Research & Development,60,3,3,3,1,8,4
195,0,0.08399906671522445,Low,Sales Executive,Sales,96,3,4,4,4,4,2
